Record Sequence Number,EQID,Earthquake Name,YEAR,MODY,HRMN,Station Name,Station Sequence Number,Station ID  No.,Earthquake Magnitude,Strike (deg),Dip (deg),Rake Angle (deg),Mechanism Based on Rake Angle,P-plunge (deg),P-trend (deg),T-plunge (deg),T-trend (deg),Hypocenter Latitude (deg),Hypocenter Longitude (deg),Hypocenter Depth (km),Finite Rupture Model: 1=Yes;  0=No,Depth to Top Of Fault Rupture Model,Fault Rupture Length for Calculation of Ry (km),Fault Rupture Width (km),Fault Rupture Area (km^2),Average Vr/Vs,EpiD (km),HypD (km),Joyner-Boore Dist. (km),Campbell R Dist. (km),RmsD (km),ClstD (km),Rx,FW/HW Indicator,Source to Site Azimuth (deg),X,Y,Phi.D (deg),Unused Column.2,Depth,Preferred NEHRP Based on Vs30,Vs30 (m/s) selected for analysis,Measured/Inferred Class,Sigma of Vs30 (in natural log Units),Owner,Station Latitude,Station Longitude,STORIES,INSTLOC,Depth to Basement Rock,Site Visited,NGA Type,Northern CA/Southern CA - H11 Z1 (m),Northern CA/Southern CA - H11 Z1.5 (m),Northern CA/Southern CA - H11 Z2.5 (m),Northern CA/Southern CA - S4 Z1 (m),Northern CA/Southern CA - S4 Z1.5 (m),Northern CA/Southern CA - S4 Z2.5 (m),Rebe (m),File Name (Horizontal 1),File Name (Horizontal 2),File Name (Vertical),H1 azimth (degrees),H2 azimith (degrees),Type of Recording,Instrument Model,PEA Processing Flag,Type of Filter,npass,nroll,HP-H1 (Hz),HP-H2 (Hz),LP-H1 (Hz),LP-H2 (Hz),Factor,Lowest Usable Freq - H1 (Hz),Lowest Usable Freq - H2 (H2),Lowest Usable Freq - Ave. Component (Hz),PGA (g),PGV (cm/sec),PGD (cm),T0.010S,T0.020S,T0.030S,T0.050S,T0.075S,T0.100S,T0.150S,T0.200S,T0.250S,T0.300S,T0.400S,T0.500S,T0.750S,T1.000S,T1.500S,T2.000S,T3.000S,T4.000S,T5.000S,T6.000S,T7.500S,T10.000S,U,Damping (%),RotD percentile,Instrument Nat. Freq.,Instrument Damping,Instrument Type,Quality_Flag,Spectra Quality Flag,Late S-trigger,Late P-trigger
1003,127,Northridge-01,1994,117,1231,LA - Saturn St,584,90091,6.69,122.0,40.0,103,2,5.67,22.8,79.91,146.73,34.2057,-118.5539,17.5,1,5.0,18.0,24.0,432.1,0.8138180673591437,25.52,30.95,21.17,-999.0,34.44,27.01,20.3,nu,43.92,0.22,0.3,66.96,-999,S,D,308.71,0,0.1,USC,34.046,-118.355,2,GROUND LEVEL,-999.0,-999,1a,1100.0,-999.0,3400.0,500.0,-999.0,5080.0,-999.0,NORTHR\STN020.AT2,NORTHR\STN110.AT2,NORTHR\STN-UP.AT2,20,110,A,-999,PEA,A,1,2.5,0.12,0.15,30.0,30.0,1.25,0.15,0.1875,0.1875,0.44289,39.504,4.7001,0.4483395,0.4447969,0.4611335,0.5232583,0.5636613,0.7870566,1.209982,1.01791,0.6982142,0.8998161,1.032934,1.058313,0.5753314,0.4315687,0.2074128,0.08298255,0.03848294,0.02583671,0.01144014,0.008274518,0.005606937,0.002266825,39.085239,5,50,-999.0,-999.0,-999,-999,0,-999,?
1004,127,Northridge-01,1994,117,1231,LA - Sepulveda VA Hospital,108,637,6.69,122.0,40.0,103,2,5.67,22.8,79.91,146.73,34.2057,-118.5539,17.5,1,5.0,18.0,24.0,432.1,0.8138180673591437,8.48,19.45,0.0,-999.0,14.78,8.44,7.18,hw,90.0,0.19,0.72,26.01,-999,S,C,380.06,0,0.2,USGS,34.24892,-118.4789,1,GROUND LEVEL,-999.0,-999,1a,840.0,-999.0,4440.0,360.0,-999.0,4180.0,-999.0,NORTHR\SPV270.AT2,NORTHR\SPV360.AT2,NORTHR\SPV-UP.AT2,270,0,A,SMA-1,PEA,A,1,2.5,0.13,0.07,30.0,33.0,1.4,0.182,0.098,0.182,0.75323,72.483,17.194,0.7535521,0.7555942,0.773871,0.9898487,1.107196,1.203919,1.495544,1.818396,1.971047,2.055733,1.364487,1.440843,1.549704,0.8528641,0.339157,0.2400737,0.1828386,0.07164188,0.0406476,0.0255092,0.01567714,0.008128648,17.49133,5,50,-999.0,-999.0,-999,-999,0,-999,D
1005,127,Northridge-01,1994,117,1231,LA - Temple & Hope,357,24611,6.69,122.0,40.0,103,2,5.67,22.8,79.91,146.73,34.2057,-118.5539,17.5,1,5.0,18.0,24.0,432.1,0.8138180673591437,32.72,37.11,28.82,-999.0,39.89,31.48,13.73,nu,25.47,0.22,0.51,45.97,-999,S,C,452.15,2a_3a_4b_4c,0.3,CDMG,34.059,-118.246,0,GROUND LEVEL,-999.0,-999,2,140.0,-999.0,3180.0,320.0,-999.0,3120.0,-999.0,NORTHR\TEM090.AT2,NORTHR\TEM180.AT2,NORTHR\TEM-UP.AT2,90,180,D,-999,#,O,-999,-999.0,0.2,0.2,46.0,46.0,1.0,0.2,0.2,0.2,0.17161,16.035,2.7497,0.1730137,0.1739798,0.1775551,0.2194316,0.2478866,0.3011796,0.4281319,0.4793058,0.380227,0.4036881,0.3399078,0.331899,0.3221499,0.1728979,0.1257675,0.06248128,0.02536515,0.02926345,0.01317464,0.00627854,0.003025286,0.001193367,46.824854,5,50,-999.0,-999.0,-999,-999,0,-999,? PT
1006,127,Northridge-01,1994,117,1231,LA - UCLA Grounds,360,24688,6.69,122.0,40.0,103,2,5.67,22.8,79.91,146.73,34.2057,-118.5539,17.5,1,5.0,18.0,24.0,432.1,0.8138180673591437,18.62,25.55,13.8,-999.0,29.01,22.49,22.34,nu,59.38,0.22,0.23,72.86,-999,S,C,398.42,0,0.2,CDMG,34.068,-118.439,0,GROUND,-999.0,-999,1b,880.0,-999.0,3580.0,320.0,-999.0,5240.0,17.8946,NORTHR\UCL090.AT2,NORTHR\UCL360.AT2,NORTHR\UCL-UP.AT2,90,0,A,-999,#,O,-999,-999.0,0.16,0.16,23.0,23.0,1.0,0.16,0.16,0.16,0.39297,21.985,6.0418,0.4001792,0.4002987,0.4276688,0.4487354,0.6368841,0.9898611,0.7676883,0.7239256,1.020803,0.5480013,0.4398987,0.4488731,0.3198769,0.2315068,0.1929968,0.1314494,0.05253042,0.02788914,0.01651599,0.01012443,0.005253963,0.002710205,31.223752,5,50,-999.0,-999.0,-999,-999,0,-999,D PT
1007,127,Northridge-01,1994,117,1231,Los Angeles - 7-story Univ Hospital (FF),354,24605,6.69,122.0,40.0,103,2,5.67,22.8,79.91,146.73,34.2057,-118.5539,17.5,1,5.0,18.0,24.0,432.1,0.8138180673591437,36.47,40.45,32.39,-999.0,43.03,34.2,11.09,nu,18.9,0.22,0.59,37.52,-999,S,D,332.28,2a_3a_4b_4c,0.33,CDMG,34.062,-118.198,-999,-999,-999.0,-999,-999,2180.0,-999.0,2380.0,320.0,-999.0,3040.0,-999.0,NORTHR\UNI005.AT2,NORTHR\UNI095.AT2,NORTHR\UNI-UP.AT2,5,95,D,-999,#,O,-999,-999.0,0.2,0.2,46.0,46.0,1.0,0.2,0.2,0.2,0.3496,22.194,2.3637,0.3518654,0.3532093,0.3655056,0.4607625,0.5104007,0.4570088,0.6824933,0.8515834,0.7960761,0.7334465,0.9931499,0.8147679,0.2164512,0.1597432,0.08855154,0.03362893,0.01495606,0.02045817,0.009238831,0.003722909,0.002124499,0.001062112,50.392067,5,50,-999.0,-999.0,-999,-999,0,-999,? PT
1008,127,Northridge-01,1994,117,1231,LA - W 15th St,529,90020,6.69,122.0,40.0,103,2,5.67,22.8,79.91,146.73,34.2057,-118.5539,17.5,1,5.0,18.0,24.0,432.1,0.8138180673591437,29.59,34.38,25.59,-999.0,37.63,29.74,17.6,nu,34.52,0.22,0.38,58.57,-999,D,D,329.52,2a_3a_4b_4c,0.25,USC,34.045,-118.298,1,GROUND LEVEL,-999.0,-999,5,1520.0,-999.0,2020.0,320.0,-999.0,3440.0,-999.0,NORTHR\W15090.AT2,NORTHR\W15180.AT2,NORTHR\W15-UP.AT2,90,180,A,-999,PEA,A,1,2.5,0.09,0.13,30.0,30.0,1.25,0.1125,0.1625,0.1625,0.13829,12.477,3.9877,0.1394377,0.1385099,0.1406196,0.159807,0.1649268,0.2301451,0.3090292,0.2672186,0.3315283,0.3447532,0.2913031,0.2889552,0.228823,0.1672133,0.09058864,0.08231665,0.03330106,0.02868371,0.01410189,0.00988414,0.007028296,0.003084809,43.595257,5,50,-999.0,-999.0,-999,-999,0,-999,?
1009,127,Northridge-01,1994,117,1231,LA - Wadsworth VA Hospital North,1151,5082,6.69,122.0,40.0,103,2,5.67,22.8,79.91,146.73,34.2057,-118.5539,17.5,1,5.0,18.0,24.0,432.1,0.8138180673591437,19.55,26.24,14.55,-999.0,30.06,23.6,24.44,nu,61.57,0.22,0.17,78.43,-999,D,C,392.24,0,0.2,USGS,34.052,-118.451,-999,-999,-999.0,-999,-999,860.0,-999.0,3660.0,320.0,-999.0,5240.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,31.231273,5,50,-999.0,-999.0,-999,-999,0,-999,-999
1010,127,Northridge-01,1994,117,1231,LA - Wadsworth VA Hospital South,1152,5082,6.69,122.0,40.0,103,2,5.67,22.8,79.91,146.73,34.2057,-118.5539,17.5,1,5.0,18.0,24.0,432.1,0.8138180673591437,19.55,26.24,14.55,-999.0,30.06,23.6,24.44,nu,61.57,0.22,0.17,78.43,-999,D,C,413.81,0,0.2,USGS,34.052,-118.451,-999,-999,-999.0,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,31.231273,5,50,-999.0,-999.0,-999,-999,0,-999,-999
1011,127,Northridge-01,1994,117,1231,LA - Wonderland Ave,526,90017,6.69,122.0,40.0,103,2,5.67,22.8,79.91,146.73,34.2057,-118.5539,17.5,1,5.0,18.0,24.0,432.1,0.8138180673591437,18.99,25.82,15.11,-999.0,27.8,20.29,15.12,nu,45.01,0.22,0.46,50.5,-999,S,B,1222.52,0,0.25,USC,34.114,-118.38,2,GROUND LEVEL,0.0,-999,1a,3.7,3.7,30.5,3.7,3.7,30.5,-999.0,NORTHR\WON095.AT2,NORTHR\WON185.AT2,NORTHR\WON-UP.AT2,95,185,A,-999,PEA,A,1,2.5,0.14,0.1,30.0,30.0,1.25,0.175,0.125,0.175,0.14082,12.203,2.067,0.1433998,0.1419891,0.1439232,0.1627759,0.2565384,0.3083551,0.3403476,0.2787009,0.3268551,0.2652359,0.2219829,0.2197155,0.1954886,0.1413738,0.05899514,0.02997264,0.01511149,0.01242418,0.007124188,0.003979149,0.002459062,0.00096694,33.112063,5,50,-999.0,-999.0,-999,-999,0,-999,D
1012,127,Northridge-01,1994,117,1231,LA 00,509,-999,6.69,122.0,40.0,103,2,5.67,22.8,79.91,146.73,34.2057,-118.5539,17.5,1,5.0,18.0,24.0,432.1,0.8138180673591437,14.41,22.67,9.87,-999.0,25.28,19.07,19.49,nu,63.29,0.22,0.32,64.5,-999,S,C,706.22,0,0.2,UCSB,34.106,-118.454,-999,-999,-999.0,-999,-999,40.0,-999.0,760.0,320.0,-999.0,5020.0,-999.0,NORTHR\LA0180.AT2,NORTHR\LA0270.AT2,NORTHR\LA0DWN.AT2,180,270,A,-999,PEA,A,1,2.5,0.0,0.13,40.0,40.0,1.25,0.0,0.1625,0.1625,0.3449,27.644,5.0616,0.3493942,0.3486458,0.3639475,0.4202968,0.4863076,0.4928773,0.7939549,0.6720767,0.7757742,0.9914206,0.8770046,0.5172923,0.5092715,0.2793276,0.1468578,0.06162737,0.0277422,0.01339344,0.01073047,0.006402128,0.003232038,0.001937241,27.807737,5,50,-999.0,-999.0,-999,-999,0,-999,?
1013,127,Northridge-01,1994,117,1231,LA Dam,1,0,6.69,122.0,40.0,103,2,5.67,22.8,79.91,146.73,34.2057,-118.5539,17.5,1,5.0,18.0,24.0,432.1,0.8138180673591437,11.79,21.1,0.0,-999.0,13.04,5.92,3.18,hw,90.0,0.02,0.81,16.03,-999,S,C,628.99,0,0.2,DWP,34.294,-118.483,-999,-999,-999.0,-999,-999,720.0,-999.0,4620.0,320.0,-999.0,4980.0,-999.0,NORTHR\LDM064.AT2,NORTHR\LDM334.AT2,NORTHR\LDM-UP.AT2,64,334,A,-999,PEA,A,1,2.5,0.1,0.12,33.0,23.0,1.25,0.125,0.15,0.15,0.35455,67.133,20.377,0.3560612,0.3626454,0.3621091,0.4445925,0.4600287,0.6303534,0.8120276,0.7221971,0.7142957,0.9110029,0.7501338,0.7959103,0.7087515,0.6264213,0.4205057,0.3527135,0.1789921,0.08757946,0.05438236,0.0359031,0.02067269,0.01000987,14.445071,5,50,-999.0,-999.0,-999,-999,0,-999,?
1014,127,Northridge-01,1994,117,1231,LB - City Hall,293,14560,6.69,122.0,40.0,103,2,5.67,22.8,79.91,146.73,34.2057,-118.5539,17.5,1,5.0,18.0,24.0,432.1,0.8138180673591437,58.84,61.39,53.94,-999.0,67.03,57.68,38.68,nu,37.73,0.22,0.19,76.43,-999,D,D,322.0,1,0.1,CDMG,33.768,-118.196,0,GROUND LEVEL,-999.0,-999,1a,140.0,-999.0,3160.0,420.0,-999.0,4880.0,18.1096,NORTHR\LBC090.AT2,NORTHR\LBC360.AT2,NORTHR\LBC-UP.AT2,90,0,A,-999,#,O,-999,-999.0,0.3,0.3,23.0,23.0,1.0,0.3,0.3,0.3,0.037578,4.7632,1.3573,0.03816935,0.03837316,0.04203389,0.045064,0.05838421,0.07923878,0.09124041,0.114153,0.114678,0.138112,0.1205161,0.09118391,0.08359153,0.06216763,0.05117996,0.04308777,0.02122195,0.009849956,0.003725199,0.002002873,0.001143329,0.000577486,67.980776,5,50,-999.0,-999.0,-999,-999,0,-999,? PT
1015,127,Northridge-01,1994,117,1231,LB - Rancho Los Cerritos,287,14242,6.69,122.0,40.0,103,2,5.67,22.8,79.91,146.73,34.2057,-118.5539,17.5,1,5.0,18.0,24.0,432.1,0.8138180673591437,52.51,55.35,47.79,-999.0,60.55,51.89,31.8,nu,34.73,0.22,0.07,86.11,-999,D,D,302.73,2a_3a_4b_4c,0.3,CDMG,33.84,-118.194,0,GROUND LEVEL,4.6,-999,5,980.0,-999.0,3680.0,580.0,-999.0,5200.0,18.5948,NORTHR\LBR000.AT2,NORTHR\LBR090.AT2,NORTHR\LBR-UP.AT2,0,90,A,-999,#,O,-999,-999.0,0.16,0.16,23.0,23.0,1.0,0.16,0.16,0.16,0.068081,5.8362,2.0368,0.06867944,0.06933336,0.07060622,0.07446463,0.08342411,0.1032527,0.1761748,0.2150273,0.2716627,0.1860092,0.1735253,0.1313454,0.09921588,0.1040145,0.05391812,0.04120338,0.02032259,0.01379985,0.008976072,0.004669407,0.002598322,0.00110153,63.868037,5,50,-999.0,-999.0,-999,-999,0,-999,? PT
1016,127,Northridge-01,1994,117,1231,La Crescenta - New York,555,90060,6.69,122.0,40.0,103,2,5.67,22.8,79.91,146.73,34.2057,-118.5539,17.5,1,5.0,18.0,24.0,432.1,0.8138180673591437,27.83,32.87,17.81,-999.0,30.81,18.5,-2.74,nu,-8.84,0.22,0.81,4.67,-999,S,C,411.55,2a_3a_4b_4c,0.25,USC,34.238,-118.254,2,GROUND LEVEL,-999.0,-999,5,80.0,-999.0,380.0,100.0,-999.0,320.0,-999.0,NORTHR\NYA090.AT2,NORTHR\NYA180.AT2,NORTHR\NYA-UP.AT2,90,180,A,-999,PEA,A,1,2.5,0.3,0.1,30.0,30.0,1.25,0.375,0.125,0.375,0.18338,12.174,2.0218,0.1860394,0.1858816,0.1913475,0.2225188,0.2742095,0.410546,0.3892305,0.4929039,0.4492532,0.3519751,0.3578078,0.4333739,0.1943884,0.1322465,0.05803701,0.02341183,0.01074186,0.008646303,0.005687366,0.004154999,0.00249711,0.001319096,35.596049,5,50,-999.0,-999.0,-999,-999,0,-999,?
1017,127,Northridge-01,1994,117,1231,La Habra - Briarcliff,568,90074,6.69,122.0,40.0,103,2,5.67,22.8,79.91,146.73,34.2057,-118.5539,17.5,1,5.0,18.0,24.0,432.1,0.8138180673591437,62.22,64.63,58.32,-999.0,68.42,59.62,13.28,nu,12.83,0.22,0.52,44.5,-999,D,D,338.27,2a_3a_4b_4c,0.25,USC,33.921,-117.973,2,GROUND LEVEL,-999.0,-999,5,840.0,-999.0,3140.0,560.0,-999.0,3100.0,-999.0,NORTHR\BRC000.AT2,NORTHR\BRC090.AT2,NORTHR\BRC-UP.AT2,0,90,A,-999,PEA,A,1,2.5,0.2,0.18,30.0,30.0,1.25,0.25,0.225,0.25,0.14809,8.7673,1.1872,0.1504525,0.1498045,0.1526909,0.1662521,0.1529785,0.170221,0.2293047,0.3754038,0.4062048,0.4565889,0.4293355,0.2456287,0.1760063,0.09849881,0.0547159,0.02810196,0.01375797,0.006588022,0.003109708,0.003036973,0.001509422,0.000556562,76.32175,5,50,-999.0,-999.0,-999,-999,0,-999,?
1018,127,Northridge-01,1994,117,1231,La Puente - Rimgrove Av,566,90072,6.69,122.0,40.0,103,2,5.67,22.8,79.91,146.73,34.2057,-118.5539,17.5,1,5.0,18.0,24.0,432.1,0.8138180673591437,61.9,64.33,56.36,-999.0,66.86,56.59,0.69,nu,0.7,0.22,0.81,10.8,-999,S,D,339.52,2a_3a_4b_4c,0.33,USC,34.026,-117.918,1,GROUND LEVEL,-999.0,-999,5,280.0,-999.0,2400.0,320.0,-999.0,2340.0,-999.0,NORTHR\RIM015.AT2,NORTHR\RIM105.AT2,NORTHR\RIM-UP.AT2,15,105,A,-999,PEA,A,1,2.5,0.4,0.4,30.0,30.0,1.25,0.5,0.5,0.5,0.10893,7.913,0.7511,0.1099571,0.1090727,0.1094369,0.1117677,0.1265662,0.1411101,0.1872304,0.2472432,0.2413162,0.2889191,0.4582774,0.3537719,0.1436915,0.06608166,0.03143414,0.02476532,0.006508267,0.002490158,0.001425565,0.00088407,0.000551978,0.000313474,74.359846,5,50,-999.0,-999.0,-999,-999,0,-999,?
1019,127,Northridge-01,1994,117,1231,Lake Hughes #1,320,24271,6.69,122.0,40.0,103,2,5.67,22.8,79.91,146.73,34.2057,-118.5539,17.5,1,5.0,18.0,24.0,432.1,0.8138180673591437,53.34,56.13,35.46,-999.0,47.15,35.81,-35.24,fw,-96.28,0.78,0.81,20.78,-999,S,C,425.34,1,0.3,CDMG,34.674,-118.43,1,GROUND LEVEL,3.0,-999,1a,40.0,-999.0,240.0,-999.0,-999.0,-999.0,-999.0,NORTHR\L01000.AT2,NORTHR\L01090.AT2,NORTHR\L01-UP.AT2,0,90,A,-999,#,O,-999,-999.0,0.12,0.12,23.0,23.0,1.0,0.12,0.12,0.12,0.082674,9.3182,2.8605,0.08332854,0.08395672,0.08404851,0.08508255,0.09259266,0.1036539,0.1724207,0.1711747,0.2474388,0.2210869,0.2102596,0.2145868,0.2150894,0.2020088,0.05908047,0.02688302,0.0139497,0.00964155,0.007571652,0.006500737,0.00519483,0.002370838,-3.8761645,5,50,-999.0,-999.0,-999,-999,0,-999,? PT
1020,127,Northridge-01,1994,117,1231,Lake Hughes #12A,356,24607,6.69,122.0,40.0,103,2,5.67,22.8,79.91,146.73,34.2057,-118.5539,17.5,1,5.0,18.0,24.0,432.1,0.8138180673591437,40.65,44.26,20.77,-999.0,34.14,21.36,-19.21,fw,-112.32,0.78,0.81,12.89,-999,S,C,602.1,0,0.2,CDMG,34.571,-118.56,0,GROUND LEVEL,-999.0,-999,1a,80.0,-999.0,880.0,320.0,-999.0,320.0,-999.0,NORTHR\H12090.AT2,NORTHR\H12180.AT2,NORTHR\H12-UP.AT2,90,180,D,-999,#,O,-999,-999.0,0.12,0.12,46.0,46.0,1.0,0.12,0.12,0.12,0.21765,10.224,4.1419,0.2229269,0.2197389,0.2250609,0.2524837,0.3680537,0.4455088,0.7214075,0.6407258,0.6299798,0.3234945,0.2279859,0.2024723,0.09156324,0.06189584,0.03301619,0.03772544,0.02586738,0.02184321,0.0158052,0.0113469,0.007465113,0.002662906,-7.8887941,5,50,-999.0,-999.0,-999,-999,0,-999,? PT
1021,127,Northridge-01,1994,117,1231,Lake Hughes #4 - Camp Mend,78,24469,6.69,122.0,40.0,103,2,5.67,22.8,79.91,146.73,34.2057,-118.5539,17.5,1,5.0,18.0,24.0,432.1,0.8138180673591437,49.93,52.91,31.27,-999.0,43.57,31.66,-30.65,fw,-101.4,0.78,0.81,19.01,-999,S,C,600.06,2a_3a_4b_4c,0.4,CDMG,34.65,-118.478,0,GROUND LEVEL,0.0,-999,5,40.0,-999.0,240.0,-999.0,-999.0,-999.0,-999.0,NORTHR\L04000.AT2,NORTHR\L04090.AT2,NORTHR\L04-UP.AT2,0,90,A,-999,#,O,-999,-999.0,0.12,0.12,23.0,23.0,1.0,0.12,0.12,0.12,0.075756,6.0644,2.6742,0.07739415,0.07791829,0.07803248,0.08378538,0.1220034,0.1543416,0.2793505,0.1966957,0.196844,0.2063359,0.1224924,0.106537,0.08589108,0.06957121,0.02377553,0.01707846,0.01036833,0.008784701,0.008027025,0.007487664,0.006854831,0.002677533,-6.1822121,5,50,-999.0,-999.0,-999,-999,0,-999,? PT
1022,127,Northridge-01,1994,117,1231,Lake Hughes #4B - Camp Mend,346,24523,6.69,122.0,40.0,103,2,5.67,22.8,79.91,146.73,34.2057,-118.5539,17.5,1,5.0,18.0,24.0,432.1,0.8138180673591437,49.94,52.92,31.3,-999.0,43.58,31.69,-30.7,fw,-101.25,0.78,0.81,19.03,-999,S,C,523.54,2a_3a_4b_4c,0.4,CDMG,34.65,-118.477,0,GROUND LEVEL,0.0,-999,1a,40.0,-999.0,240.0,-999.0,-999.0,-999.0,-999.0,NORTHR\L4B000.AT2,NORTHR\L4B090.AT2,NORTHR\L4B-UP.AT2,0,90,A,-999,#,O,-999,-999.0,0.12,0.12,23.0,23.0,1.0,0.12,0.12,0.12,0.047223,4.2624,1.8731,0.04834141,0.04842035,0.05190992,0.0535963,0.07234932,0.09560506,0.1895755,0.1316998,0.08979321,0.1041727,0.0814516,0.08984567,0.05495122,0.0450707,0.01820544,0.01266992,0.007568925,0.006829602,0.007202778,0.00588055,0.004245181,0.001656521,-6.1046174,5,50,-999.0,-999.0,-999,-999,0,-999,? PT
1023,127,Northridge-01,1994,117,1231,Lake Hughes #9,79,127,6.69,122.0,40.0,103,2,5.67,22.8,79.91,146.73,34.2057,-118.5539,17.5,1,5.0,18.0,24.0,432.1,0.8138180673591437,44.77,48.07,24.86,-999.0,38.2,25.36,-22.8,fw,-113.5,0.78,0.81,15.14,-999,S,C,670.84,0,0.2,USGS,34.608,-118.558,0,GROUND LEVEL,0.003,-999,1a,40.0,-999.0,220.0,20.0,-999.0,320.0,-999.0,NORTHR\L09000.AT2,NORTHR\L09090.AT2,NORTHR\L09-UP.AT2,0,90,A,-999,#,C,1,2.5,0.14,0.14,23.0,23.0,1.25,0.175,0.175,0.175,0.19399,9.1081,3.4572,0.197131,0.1987033,0.2062253,0.2122003,0.2383316,0.3079172,0.5720286,0.7090534,0.5025811,0.3830877,0.1948311,0.1565969,0.05903406,0.03283496,0.03227322,0.02436895,0.0158642,0.0158101,0.01369316,0.01082132,0.007146938,0.002779179,-9.9149611,5,50,-999.0,-999.0,-999,-999,0,-999,D PT
1024,127,Northridge-01,1994,117,1231,Lakewood - Del Amo Blvd,577,90084,6.69,122.0,40.0,103,2,5.67,22.8,79.91,146.73,34.2057,-118.5539,17.5,1,5.0,18.0,24.0,432.1,0.8138180673591437,57.98,60.57,53.56,-999.0,65.4,56.91,26.55,nu,26.64,0.22,0.1,83.51,-999,D,D,267.35,2a_3a_4b_4c,0.25,USC,33.846,-118.099,1,GROUND LEVEL,-999.0,-999,5,1080.0,-999.0,6180.0,820.0,-999.0,5300.0,19.6531,NORTHR\DEL000.AT2,NORTHR\DEL090.AT2,NORTHR\DEL-UP.AT2,0,90,A,-999,PEA,A,1,2.5,0.13,0.13,30.0,30.0,1.25,0.1625,0.1625,0.1625,0.12814,9.1209,2.4465,0.1298029,0.1282964,0.1302399,0.1333001,0.1922545,0.2264363,0.4259439,0.387492,0.4640693,0.3713466,0.3599822,0.1948329,0.2015698,0.1333549,0.07200282,0.0510606,0.02318084,0.01549548,0.01054862,0.005744654,0.002749067,0.001371301,70.939699,5,50,-999.0,-999.0,-999,-999,0,-999,?
1025,127,Northridge-01,1994,117,1231,Lancaster - Fox Airfield Grnd,343,24475,6.69,122.0,40.0,103,2,5.67,22.8,79.91,146.73,34.2057,-118.5539,17.5,1,5.0,18.0,24.0,432.1,0.8138180673591437,67.04,69.28,51.88,-999.0,61.8,52.12,-51.88,nu,-90.0,0.28,0.81,25.33,-999,D,D,268.65,2a_3a_4b_4c,0.25,CDMG,34.739,-118.214,0,GROUND LEVEL,-999.0,-999,3,80.0,-999.0,280.0,-999.0,-999.0,-999.0,-999.0,NORTHR\LAN090.AT2,NORTHR\LAN360.AT2,NORTHR\LAN-UP.AT2,90,0,A,-999,#,O,-999,-999.0,0.3,0.3,23.0,23.0,1.0,0.3,0.3,0.3,0.076632,6.3437,1.3838,0.07714757,0.0777229,0.07785743,0.08079247,0.08394346,0.1084758,0.1137648,0.2041759,0.163916,0.1398417,0.13159,0.1554889,0.175985,0.09673095,0.06527799,0.04936437,0.01473427,0.005711065,0.003555413,0.002041446,0.001118831,0.000547758,9.0098191,5,50,-999.0,-999.0,-999,-999,0,-999,? PT
1026,127,Northridge-01,1994,117,1231,Lawndale - Osage Ave,540,90045,6.69,122.0,40.0,103,2,5.67,22.8,79.91,146.73,34.2057,-118.5539,17.5,1,5.0,18.0,24.0,432.1,0.8138180673591437,39.34,43.05,34.31,-999.0,48.32,39.91,33.9,nu,47.93,0.22,0.14,82.74,-999,D,D,311.86,2a_3a_4b_4c,0.25,USC,33.897,-118.346,-999,GROUND LEVEL,-999.0,-999,5,1080.0,-999.0,3180.0,520.0,-999.0,4240.0,17.7355,NORTHR\LOA092.AT2,NORTHR\LOA182.AT2,NORTHR\LOA-UP.AT2,92,182,A,-999,PEA,A,1,2.5,0.13,0.13,30.0,30.0,1.25,0.1625,0.1625,0.1625,0.10616,8.9633,2.9136,0.1084907,0.107218,0.1097978,0.1356966,0.2228095,0.3833914,0.2769944,0.2080238,0.1759153,0.214595,0.2753656,0.2086156,0.1779372,0.1208844,0.0913002,0.0682744,0.03193167,0.01800646,0.009848163,0.006349273,0.002889744,0.001981393,48.602498,5,50,-999.0,-999.0,-999,-999,0,-999,?
